clustering_id,method,unit_ids,cluster_ids,annotation
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c31238,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c24774,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c51832,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c49944,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c2453,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c37877,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c41323,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c19439,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c27838,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c12131,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c43045,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c21634,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c52427,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c51619,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c22886,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c31120,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c51857,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7643,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c21600,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c32708,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7331,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c32113,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c51654,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c36286,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c33211,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c33520,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c13333,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c18106,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c54689,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c4822,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c49195,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c49328,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c17797,0,CD8T
