clustering_id,method,unit_ids,cluster_ids,annotation,tag_2
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1967,0,T,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c32835,2,Other,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c2822,0,T,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c5806,2,Other,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c5274,-1,,T_Other
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c18066,2,Other,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c3467,1,CD8T,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c6279,0,T,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c13226,1,CD8T,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c6268,1,CD8T,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c4828,1,CD8T,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1635,-1,,T_Other
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c18580,2,Other,
610044af-cf53-40b8-91d8-6c2de019a8ae,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c24535,2,Other,
