clustering_id,method,unit_ids,cluster_ids,annotation,tag
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c24476,6,Muscle-like,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c37781,9,T,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c12264,4,T,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c51628,0,Toss,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c15057,1,Muscle-like,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c55724,5,Endothelial,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c18964,4,T,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c2668,6,Muscle-like,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c31238,13,,T_M
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c9967,9,T,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c24774,13,,T_M
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c19862,5,Endothelial,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c41829,7,Muscle-like,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c30529,8,T,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c50790,5,Endothelial,
8143371a-3c52-4494-b0a0-fef0db8357f6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c28179,6,Muscle-like,
