clustering_id,method,unit_ids,cluster_ids,annotation
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c13,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c14,2,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c17,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c25,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c27,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c30,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c36,2,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c37,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c65,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c67,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c71,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c74,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c82,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c92,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c103,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c110,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c115,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c133,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c138,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c156,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c158,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c161,2,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c167,2,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c169,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c171,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c173,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c178,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c183,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c195,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c200,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c205,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c212,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c225,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c226,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c234,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c256,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c257,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c260,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c263,2,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c264,2,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c270,2,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c277,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c281,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c289,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c290,0,CD8T
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c308,1,Neutrophil
57dea970-8517-4ccb-a342-67bc006d4e46,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c313,1,Neutrophil
