clustering_id,method,unit_ids,cluster_ids,annotation,tag_2
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c9,0,T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c132,1,CD8T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c143,1,CD8T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c238,0,T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c296,2,Other,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c303,1,CD8T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c376,0,T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c392,2,Other,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c402,-1,,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c418,1,CD8T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c419,2,Other,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c436,1,CD8T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c439,0,T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c454,1,CD8T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c455,-1,,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c470,2,Other,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c485,-1,,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c492,0,T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c500,1,CD8T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c518,-1,,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c565,-1,,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c580,-1,,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c585,-1,,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c591,0,T,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c597,2,Other,
8586eb88-e7a6-4bb1-96eb-6ad64194e2e6,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c599,0,T,
