clustering_id,method,unit_ids,cluster_ids,annotation
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c14,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c26,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c36,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c46,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c88,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c149,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c263,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c264,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c276,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c346,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c467,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c476,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c502,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c562,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c587,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c616,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c656,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c658,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c679,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c686,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c731,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c749,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c776,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c796,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c821,1,Epithelial
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c872,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c914,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c989,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1008,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1058,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1089,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1113,2,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1181,0,T
955cec6c-6228-4620-b9f2-a4ad8b8b4d3f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c1187,3,Epithelial
