clustering_id,method,unit_ids,cluster_ids,annotation,tag
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c2,5,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c5,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c6,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c9,4,,T_M
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c10,4,,T_M
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c11,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c12,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c13,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c14,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c15,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c16,3,Endothelial,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c17,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c18,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c20,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c21,3,Endothelial,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c25,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c26,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c27,8,,T_M
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c30,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c31,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c32,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c33,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c34,4,,T_M
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c36,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c37,8,,T_M
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c42,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c44,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c45,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c46,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c47,5,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c48,3,Endothelial,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c53,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c54,3,Endothelial,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c56,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c57,1,Endothelial,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c58,1,Endothelial,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c59,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c60,7,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c63,2,Muscle-like,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c64,3,Endothelial,
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c65,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c67,0,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c69,5,,T_B
a4cb36c5-4299-4c67-9ef4-389866c256fe,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c71,1,Endothelial,
