clustering_id,method,unit_ids,cluster_ids,annotation,tag
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c2,5,T,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c5,3,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c6,3,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7,2,,T_M
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c9,8,,T_Other
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c10,9,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c11,6,Endothelial,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c12,3,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c13,2,,T_M
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c14,2,,T_M
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c15,6,Endothelial,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c16,1,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c17,2,,T_M
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c18,6,Endothelial,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c20,3,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c21,1,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c25,2,,T_M
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c26,7,Muscle-like,
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c27,10,,T_M
cfc1f61d-77d5-48f0-9938-3d873c2669fc,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c30,2,,T_M
