clustering_id,method,unit_ids,cluster_ids,annotation
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c9,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c10,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c27,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c34,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c37,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c75,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c104,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c117,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c132,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c143,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c146,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c171,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c185,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c187,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c208,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c214,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c230,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c237,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c238,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c239,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c244,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c250,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c268,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c278,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c286,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c297,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c299,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c303,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c304,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c306,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c308,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c313,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c339,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c343,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c344,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c357,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c361,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c362,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c368,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c376,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c389,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c402,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c414,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c418,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c419,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c436,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c439,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c440,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c454,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c455,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c470,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c479,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c485,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c492,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c500,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c503,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c507,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c518,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c529,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c538,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c543,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c551,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c565,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c571,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c580,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c584,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c585,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c589,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c590,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c591,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c598,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c599,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c600,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c609,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c613,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c622,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c627,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c632,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c634,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c637,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c662,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c663,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c667,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c672,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c674,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c677,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c685,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c694,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c696,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c705,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c707,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c711,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c716,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c718,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c721,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c725,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c726,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c753,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c754,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c760,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c768,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c769,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c775,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c782,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c786,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c795,1,Muscle-like
